City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
289,Faanui,PF,78.57,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
290,Yangjiang,CN,88.47,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
291,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
292,Bulawayo,ZW,63.18,clear sky,-20.15,28.5833,4 On Housman Backpackers
293,Pisco,PE,58.01,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
294,Cahors,FR,57.15,overcast clouds,44.4167,1.3333,Les Gîtes du Colombier
295,Pontianak,ID,84.18,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
296,Ayagoz,KZ,87.4,scattered clouds,47.9714,80.4392,Gostinitsa Nur
298,Fortuna,US,63.36,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
299,Tagusao,PH,82.98,overcast clouds,9.1924,117.8141,Toledo
300,Mogadishu,SO,80.47,broken clouds,2.0371,45.3438,Hotel Juba
301,Florence,IT,78.75,few clouds,43.7667,11.25,Italiana Hotels Florence
302,Chicomuselo,MX,67.3,overcast clouds,15.7667,-92.2667,Hotel San Carlos
303,Moron,AR,64.15,overcast clouds,-34.6534,-58.6198,Hotel Morón
304,Husavik,IS,51.71,overcast clouds,66.0449,-17.3389,Bjarnabúð
305,Manacapuru,BR,77.58,light rain,-3.2997,-60.6206,Novo Hotel
306,Tucurui,BR,70.79,clear sky,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
307,Maniitsoq,GL,41.36,light rain,65.4167,-52.9,Hotel Heilmann Lyberth
308,Praya,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
309,Mehamn,NO,69.75,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
310,Dabhol,IN,83.68,broken clouds,17.6,73.1667,Ashwamedh Resort
311,Menongue,AO,66.6,clear sky,-14.6585,17.691,Ritz Lauca
312,Meadow Lake,US,79.12,clear sky,34.8014,-106.5436,TumbleWeed RV Park
313,Pochutla,MX,74.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
314,Port-Cartier,CA,53.71,clear sky,50.0334,-66.8654,Le Q'Artier
315,Wewak,PG,83.23,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
316,Kieta,PG,80.96,light rain,-6.2167,155.6333,Uruna Bay Retreat
317,Segezha,RU,55.76,overcast clouds,63.7415,34.3222,Sampo Hotel
318,Simao,CN,80.89,overcast clouds,22.7886,100.9748,Changyu Hotel
319,Lucea,JM,82.26,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
321,Nome,US,54.16,clear sky,64.5011,-165.4064,Dredge 7 Inn
322,Katherine,AU,84.52,clear sky,-14.4667,132.2667,Pine Tree Motel
323,Vardo,NO,57.07,scattered clouds,70.3705,31.1107,Vardø Hotel AS
324,Hervey Bay,AU,73.51,clear sky,-25.2986,152.8535,Shelly Bay Resort
327,Ciuruleasa,RO,73.74,clear sky,46.25,23.0333,PensiuneaConfort *** 3-Star GuestHouse
328,Nakambala,ZM,69.39,clear sky,-15.8324,27.7799,Staff Area
329,Kirovskiy,RU,75.04,overcast clouds,45.0917,133.5136,"Uyut, Gostinitsa"
330,Port Moresby,PG,83.62,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
331,Mahon,ES,75.76,few clouds,39.8885,4.2658,ARTIEM Capri
332,Kyaikkami,MM,83.95,overcast clouds,16.08,97.5675,Happy Family Kyaikkami
333,Fort Walton Beach,US,80.98,few clouds,30.4058,-86.6188,Best Western Ft. Walton Beachfront
334,Paamiut,GL,41.7,light rain,61.994,-49.6678,Hotel Ivaana
336,Alakurtti,RU,62.64,overcast clouds,66.9672,30.3491,Agroturystyka Gientosław
337,Lompoc,US,61.09,fog,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
338,Siavonga,ZM,71.82,clear sky,-16.5382,28.7088,Lavongora Waterfront Lodge
339,Vikhorevka,RU,71.19,overcast clouds,56.1201,101.1636,Pansionat Sosnovyye Rodniki
341,San Quintin,MX,66.09,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
342,Tazovskiy,RU,69.58,scattered clouds,67.4667,78.7,TazHostel
343,Monte Alegre,BR,72.59,clear sky,-2.0078,-54.0692,Hotel Shekinah
344,Acapulco,MX,77.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
346,Iroquois Falls,CA,50.14,overcast clouds,48.7669,-80.6831,Auberge MacDonald Guest Inn
347,Moerai,PF,74.07,broken clouds,-22.4333,-151.3333,Le Manotel
348,Ambajogai,IN,87.55,overcast clouds,18.7333,76.3833,Hotel Krushnai
349,Ende,ID,81.18,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
350,Alice Springs,AU,67.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
351,Fallon,US,81.45,haze,39.4735,-118.7774,Best Western Fallon Inn & Suites
352,Sisimiut,GL,40.05,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
354,Banda Aceh,ID,86.67,overcast clouds,5.5577,95.3222,Sulthan Hotel International
355,The Hammocks,US,84.02,clear sky,25.6715,-80.4445,Casa tío Hernan
356,Viareggio,IT,78.24,broken clouds,43.8735,10.2558,Hotel Bianchi
357,Danville,US,69.21,fog,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
358,Havelock,US,80.55,few clouds,34.8791,-76.9013,Sherwood Motel
