City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Berbera,SO,10.4396,45.0143,96.46,32,1,24.87,clear sky
178,Raduzhnyy,RU,62.0961,77.475,80.33,44,27,4.7,scattered clouds
179,Mar Del Plata,AR,-38.0023,-57.5575,48.22,76,0,8.05,clear sky
180,Hobart,AU,-42.8794,147.3294,55.26,55,20,4.61,few clouds
181,La Ronge,CA,55.1001,-105.2842,55.65,88,40,1.14,scattered clouds
182,Beira,MZ,-19.8436,34.8389,66.29,100,90,5.75,fog
183,Strathmore,CA,51.0501,-113.3852,67.39,52,100,14.97,overcast clouds
184,Asau,RO,46.4333,26.4,71.96,53,72,1.81,broken clouds
185,Tooele,US,40.5308,-112.2983,70.83,42,1,9.22,clear sky
186,Lixourion,GR,38.2019,20.4314,77.0,78,0,3.44,clear sky
187,Kiama,AU,-34.6833,150.8667,60.39,62,98,3.47,overcast clouds
188,Ust-Charyshskaya Pristan,RU,52.3934,83.6635,82.6,33,92,4.61,overcast clouds
189,Cayenne,GF,4.9333,-52.3333,78.1,88,0,1.01,clear sky
190,Coquimbo,CL,-29.9533,-71.3436,51.53,100,90,3.44,light intensity drizzle
191,Kununurra,AU,-15.7667,128.7333,85.98,13,6,5.75,clear sky
192,Port Hardy,CA,50.6996,-127.4199,57.38,94,90,4.61,overcast clouds
193,Allende,MX,25.2833,-100.0167,79.57,67,0,3.42,clear sky
194,Abyek,IR,36.0667,50.55,89.2,17,7,15.19,clear sky
195,Sur,OM,22.5667,59.5289,96.48,45,18,2.71,few clouds
196,Popondetta,PG,-8.7537,148.2534,81.77,69,73,4.41,broken clouds
197,Caborca,MX,30.5838,-111.101,76.41,69,64,3.96,broken clouds
198,Kodiak,US,57.79,-152.4072,52.11,98,100,14.03,light rain
199,Ribeira Grande,PT,38.5167,-28.7,68.4,73,40,6.91,scattered clouds
200,Ishigaki,JP,24.3448,124.1572,82.53,89,75,12.66,broken clouds
201,Hammerfest,NO,70.6634,23.6821,66.65,52,0,4.61,clear sky
202,Dawei,MM,14.0833,98.2,84.9,76,55,7.52,broken clouds
203,Waingapu,ID,-9.6567,120.2641,84.99,54,92,17.36,overcast clouds
204,Margate,GB,51.3813,1.3862,60.51,81,82,4.0,broken clouds
205,Nara,JP,34.6851,135.8049,96.17,45,15,10.09,few clouds
206,Horsham,GB,51.064,-0.3272,61.25,73,20,8.05,few clouds
207,Shimoda,JP,34.6667,138.95,89.71,85,100,2.71,overcast clouds
208,Unity,CA,52.4501,-109.1682,61.25,61,100,7.65,overcast clouds
209,Nemuro,JP,43.3236,145.575,57.63,92,100,19.82,overcast clouds
210,Sakhon Nakhon,TH,17.1612,104.1472,93.29,55,75,8.05,broken clouds
211,Auki,SB,-8.7676,160.7034,77.83,86,100,1.72,overcast clouds
212,Noyemberyan,AM,41.1724,44.9992,81.79,31,5,4.43,clear sky
213,Salalah,OM,17.0151,54.0924,78.89,89,90,4.61,haze
214,San Jose,US,37.3394,-121.895,69.08,80,20,4.61,smoke
215,Fereydun Kenar,IR,36.6864,52.5225,89.91,57,6,5.37,clear sky
216,Matara,LK,5.9485,80.5353,82.63,74,100,14.07,overcast clouds
217,Kruisfontein,ZA,-34.0033,24.7314,62.24,32,100,8.55,overcast clouds
218,Severo-Kurilsk,RU,50.6789,156.125,56.53,75,40,10.4,scattered clouds
219,Saint-Philippe,RE,-21.3585,55.7679,79.21,72,22,12.17,few clouds
220,Rawson,AR,-43.3002,-65.1023,44.56,56,27,13.73,scattered clouds
221,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,90,75,4.61,broken clouds
222,Ballina,AU,-28.8667,153.5667,66.38,72,40,13.8,scattered clouds
223,Komsomolskiy,UZ,40.4272,71.7189,92.12,25,34,6.91,scattered clouds
224,Torbay,CA,47.6666,-52.7314,67.68,95,90,19.57,light intensity shower rain
225,Fukue,JP,32.6881,128.8419,79.16,100,75,6.91,mist
226,Constitucion,CL,-35.3333,-72.4167,45.1,74,76,5.14,broken clouds
227,Yining,CN,29.0361,114.5636,96.62,46,71,3.11,broken clouds
228,Lata,PT,40.1629,-8.3327,59.81,86,2,3.02,clear sky
229,Kysyl-Syr,RU,63.8986,122.7617,79.74,39,100,13.04,overcast clouds
230,Chernyshevskiy,RU,63.0128,112.4714,64.72,60,100,5.95,overcast clouds
231,Meulaboh,ID,4.1363,96.1285,86.61,67,100,9.15,overcast clouds
232,Rapid City,US,44.0805,-103.231,73.09,58,1,1.01,clear sky
233,Anadyr,RU,64.75,177.4833,57.7,51,0,15.66,clear sky
234,Nieves,PH,15.3274,120.9485,88.61,68,91,10.29,overcast clouds
235,Sao Felix Do Xingu,BR,-6.6447,-51.995,69.01,58,6,1.07,clear sky
236,Marsa Matruh,EG,31.3525,27.2453,83.26,61,0,13.91,clear sky
237,Yeppoon,AU,-23.1333,150.7333,76.78,59,0,11.16,clear sky
238,Calvinia,ZA,-31.4707,19.776,57.69,20,2,3.74,clear sky
239,High Level,CA,58.5169,-117.136,55.51,88,90,10.36,overcast clouds
240,Coahuayana,MX,18.7333,-103.6833,76.15,93,99,4.18,overcast clouds
241,Port Blair,IN,11.6667,92.75,86.09,71,96,15.14,overcast clouds
242,Manta,EC,-0.95,-80.7333,71.38,83,90,8.05,overcast clouds
243,Palana,RU,59.1167,159.9667,50.43,74,10,18.34,clear sky
244,Coromandel,BR,-18.4733,-47.2003,56.79,74,0,5.86,clear sky
245,Chokwe,MZ,-24.5333,32.9833,69.4,66,0,0.89,clear sky
246,Bridlington,GB,54.0831,-0.1919,60.3,88,98,21.25,light rain
247,Lorengau,PG,-2.0226,147.2712,84.42,72,98,11.61,overcast clouds
248,Sioux Lookout,CA,50.1001,-91.917,61.18,82,1,4.61,clear sky
249,Beloha,MG,-25.1667,45.05,72.68,56,0,5.75,clear sky
250,The Pas,CA,53.8251,-101.2541,64.42,100,90,3.4,mist
251,Aykhal,RU,66.0,111.5,50.9,96,100,6.96,light rain
252,Najran,SA,17.4924,44.1277,92.05,20,73,8.25,broken clouds
253,Narsaq,GL,60.9167,-46.05,46.62,97,100,4.63,overcast clouds
254,Clyde River,CA,70.4692,-68.5914,35.83,100,90,8.05,fog
255,Narovchat,RU,53.8765,43.6946,82.06,35,97,11.1,overcast clouds
256,Varna,BG,43.2167,27.9167,82.24,50,0,4.61,clear sky
257,Tokur,RU,53.1333,132.9,46.31,89,100,4.72,light rain
258,Chara,RU,56.9064,118.2631,71.78,57,87,7.63,overcast clouds
259,Rongcheng,CN,30.634,117.8517,91.45,52,2,7.52,clear sky
260,Kholmogory,RU,64.2229,41.656,66.31,44,97,9.55,overcast clouds
261,Aklavik,CA,68.2191,-135.0107,45.43,81,48,5.08,scattered clouds
262,Sao Filipe,CV,14.8961,-24.4956,77.94,85,11,8.84,few clouds
263,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.16,82,79,11.16,broken clouds
264,Shache,CN,38.4167,77.2406,85.82,26,100,15.05,overcast clouds
265,Zhangjiakou,CN,40.81,114.8794,82.6,46,100,2.91,light rain
266,Ancud,CL,-41.8697,-73.8203,42.22,88,7,5.28,clear sky
267,Nantucket,US,41.2835,-70.0995,74.97,95,20,9.22,few clouds
268,Olsztyn,PL,53.7799,20.4942,60.76,97,100,8.03,moderate rain
269,Porto De Moz,BR,-1.7483,-52.2383,72.0,82,13,2.73,few clouds
270,Minot,US,48.2325,-101.2963,71.82,66,1,5.99,clear sky
271,Riyadh,SA,24.6877,46.7219,104.14,11,0,4.61,clear sky
272,Polunochnoye,RU,60.8697,60.4153,67.28,66,64,8.88,broken clouds
273,Orlik,RU,52.5178,99.825,68.13,36,38,1.59,scattered clouds
274,Wanning,CN,18.8003,110.3967,89.67,67,100,14.99,overcast clouds
275,Umtata,ZA,-31.5889,28.7844,54.16,71,3,2.3,clear sky
276,Paratinga,BR,-12.6906,-43.1842,66.2,64,89,5.82,overcast clouds
277,Covington,US,39.0837,-84.5086,73.35,85,40,5.75,scattered clouds
278,Boshnyakovo,RU,49.6333,142.1667,57.6,66,100,3.89,moderate rain
279,Villa De Reyes,MX,21.8,-100.9333,61.07,76,96,6.24,overcast clouds
